"rcp","country","country_iso3","year","msy_mt"
"RCP26","Antigua & Barbuda","ATG",2012,7.13077124874551
"RCP26","Antigua & Barbuda","ATG",2013,7.07071827109049
"RCP26","Antigua & Barbuda","ATG",2014,7.07460967550341
"RCP26","Antigua & Barbuda","ATG",2015,7.13111246553291
"RCP26","Antigua & Barbuda","ATG",2016,7.22741642729511
"RCP26","Antigua & Barbuda","ATG",2017,7.34738027255485
"RCP26","Antigua & Barbuda","ATG",2018,7.47364469971531
"RCP26","Antigua & Barbuda","ATG",2019,7.58877193696487
"RCP26","Antigua & Barbuda","ATG",2020,7.67530906474101
"RCP26","Antigua & Barbuda","ATG",2021,7.72070729351365
"RCP26","Antigua & Barbuda","ATG",2022,7.73175102105683
"RCP26","Antigua & Barbuda","ATG",2023,7.72009898588075
"RCP26","Antigua & Barbuda","ATG",2024,7.69735321107138
"RCP26","Antigua & Barbuda","ATG",2025,7.67512497910627
"RCP26","Antigua & Barbuda","ATG",2026,7.66252849851782
"RCP26","Antigua & Barbuda","ATG",2027,7.65905640737878
"RCP26","Antigua & Barbuda","ATG",2028,7.66173804945653
"RCP26","Antigua & Barbuda","ATG",2029,7.66759699985341
"RCP26","Antigua & Barbuda","ATG",2030,7.67364972539521
"RCP26","Antigua & Barbuda","ATG",2031,7.67754854213124
"RCP26","Antigua & Barbuda","ATG",2032,7.67929469093796
"RCP26","Antigua & Barbuda","ATG",2033,7.6795100549568
"RCP26","Antigua & Barbuda","ATG",2034,7.67881299316902
"RCP26","Antigua & Barbuda","ATG",2035,7.67781539585835
"RCP26","Antigua & Barbuda","ATG",2036,7.67679859828396
"RCP26","Antigua & Barbuda","ATG",2037,7.67634412635609
"RCP26","Antigua & Barbuda","ATG",2038,7.67626520151681
"RCP26","Antigua & Barbuda","ATG",2039,7.67637611211082
"RCP26","Antigua & Barbuda","ATG",2040,7.67649226770099
"RCP26","Antigua & Barbuda","ATG",2041,7.67685152068191
"RCP26","Antigua & Barbuda","ATG",2042,7.67740971236202
"RCP26","Antigua & Barbuda","ATG",2043,7.67807233525567
"RCP26","Antigua & Barbuda","ATG",2044,7.67888709103113
"RCP26","Antigua & Barbuda","ATG",2045,7.67973669542006
"RCP26","Antigua & Barbuda","ATG",2046,7.6804279053846
"RCP26","Antigua & Barbuda","ATG",2047,7.68114677234854
"RCP26","Antigua & Barbuda","ATG",2048,7.68183670506299
"RCP26","Antigua & Barbuda","ATG",2049,7.68244055642438
"RCP26","Antigua & Barbuda","ATG",2050,7.68290074157087
"RCP26","Antigua & Barbuda","ATG",2051,7.68312071355943
"RCP26","Antigua & Barbuda","ATG",2052,7.68315916317251
"RCP26","Antigua & Barbuda","ATG",2053,7.6829940847419
"RCP26","Antigua & Barbuda","ATG",2054,7.68260274909011
"RCP26","Antigua & Barbuda","ATG",2055,7.68196193554884
"RCP26","Antigua & Barbuda","ATG",2056,7.68108123884907
"RCP26","Antigua & Barbuda","ATG",2057,7.68029621860219
"RCP26","Antigua & Barbuda","ATG",2058,7.67994918315948
"RCP26","Antigua & Barbuda","ATG",2059,7.68038233637285
"RCP26","Antigua & Barbuda","ATG",2060,7.68193762823868
"RCP26","Antigua & Barbuda","ATG",2061,7.68479192807882
"RCP26","Antigua & Barbuda","ATG",2062,7.68851980279883
"RCP26","Antigua & Barbuda","ATG",2063,7.69252305380997
"RCP26","Antigua & Barbuda","ATG",2064,7.69620647988246
